created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2025-10-23T15:38:53+00:00,1,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:39:10+00:00,2,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:39:26+00:00,3,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:39:42+00:00,4,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:39:59+00:00,5,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:40:15+00:00,6,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:40:32+00:00,7,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:40:48+00:00,8,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:41:05+00:00,9,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:41:21+00:00,10,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:41:38+00:00,11,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:41:54+00:00,12,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:42:11+00:00,13,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:42:27+00:00,14,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:42:44+00:00,15,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:43:00+00:00,16,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:43:16+00:00,17,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:43:33+00:00,18,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:43:49+00:00,19,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:44:05+00:00,20,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:44:22+00:00,21,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:44:39+00:00,22,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:44:55+00:00,23,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:45:11+00:00,24,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:45:28+00:00,25,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:45:44+00:00,26,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:46:01+00:00,27,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:46:17+00:00,28,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:46:34+00:00,29,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:46:51+00:00,30,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:47:07+00:00,31,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:47:24+00:00,32,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:47:40+00:00,33,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:47:57+00:00,34,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:48:13+00:00,35,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:48:30+00:00,36,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:48:46+00:00,37,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:49:03+00:00,38,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:49:19+00:00,39,450,520,22.80,46.50,300,1,,,,
2025-10-23T15:49:36+00:00,40,450,520,22.80,46.50,300,1,,,,
